dataset_name,stroke,event_distance,sex,age_min,age_max,skill_level,metric_name,unit,value_typical,uncertainty_sd,value_min,value_max,measurement_domain,status,benchmark_priority,method,notes,source_type,source_title,authors,publication_year,doi,pmid,population_description,age_group,population_level,course,event_context,evidence_grade,benchmark_eligibility,benchmark_use,population_match_required,context_only_reason
EUROPEAN_FINALISTS_2021_MALE,BUTTERFLY,100m,Male,,,Elite / European Championship Finalist,Start Time,s,5.53,0.19,,,CALIBRATED_PHYSICAL,VALIDATED_REFERENCE,PRIMARY_BENCHMARK,Race video kinematic analysis; stroke rate = 60 / stroke time; DPS = stroke time × section velocity,"Long-course pool. Values are mean ± SD. Applicable to elite adult European championship finalists; do not generalize to youth, masters, recreational, or non-European cohorts.",PEER_REVIEWED_ORIGINAL_RESEARCH,Performance Development of European Swimmers Across the Olympic Cycle,Born DP; Schönfelder M; Logan O; Olstad BH; Romann M,2022,10.3389/fspor.2022.894066,35755613,2021 European Swimming Championships finalists; long-course pool; elite European swimmers,ADULT,ELITE,LCM,100m,A,BENCHMARK,"Use for adult elite/European-championship-level long-course comparison only; do not generalize to youth, masters, recreational, or non-comparable events.",sex + adult + elite + LCM + comparable event/stroke,
EUROPEAN_FINALISTS_2021_MALE,BUTTERFLY,100m,Male,,,Elite / European Championship Finalist,Breakout Distance After Start,m,13.4,0.4,,,CALIBRATED_PHYSICAL,VALIDATED_REFERENCE,PRIMARY_BENCHMARK,Race video kinematic analysis; stroke rate = 60 / stroke time; DPS = stroke time × section velocity,"Long-course pool. Values are mean ± SD. Applicable to elite adult European championship finalists; do not generalize to youth, masters, recreational, or non-European cohorts.",PEER_REVIEWED_ORIGINAL_RESEARCH,Performance Development of European Swimmers Across the Olympic Cycle,Born DP; Schönfelder M; Logan O; Olstad BH; Romann M,2022,10.3389/fspor.2022.894066,35755613,2021 European Swimming Championships finalists; long-course pool; elite European swimmers,ADULT,ELITE,LCM,100m,A,BENCHMARK,"Use for adult elite/European-championship-level long-course comparison only; do not generalize to youth, masters, recreational, or non-comparable events.",sex + adult + elite + LCM + comparable event/stroke,
EUROPEAN_FINALISTS_2021_MALE,BUTTERFLY,100m,Male,,,Elite / European Championship Finalist,Turn Time,s,10.39,0.13,,,CALIBRATED_PHYSICAL,VALIDATED_REFERENCE,PRIMARY_BENCHMARK,Race video kinematic analysis; stroke rate = 60 / stroke time; DPS = stroke time × section velocity,"Long-course pool. Values are mean ± SD. Applicable to elite adult European championship finalists; do not generalize to youth, masters, recreational, or non-European cohorts.",PEER_REVIEWED_ORIGINAL_RESEARCH,Performance Development of European Swimmers Across the Olympic Cycle,Born DP; Schönfelder M; Logan O; Olstad BH; Romann M,2022,10.3389/fspor.2022.894066,35755613,2021 European Swimming Championships finalists; long-course pool; elite European swimmers,ADULT,ELITE,LCM,100m,A,BENCHMARK,"Use for adult elite/European-championship-level long-course comparison only; do not generalize to youth, masters, recreational, or non-comparable events.",sex + adult + elite + LCM + comparable event/stroke,
EUROPEAN_FINALISTS_2021_MALE,BUTTERFLY,100m,Male,,,Elite / European Championship Finalist,Breakout Distance After Turn,m,11.7,1.5,,,CALIBRATED_PHYSICAL,VALIDATED_REFERENCE,PRIMARY_BENCHMARK,Race video kinematic analysis; stroke rate = 60 / stroke time; DPS = stroke time × section velocity,"Long-course pool. Values are mean ± SD. Applicable to elite adult European championship finalists; do not generalize to youth, masters, recreational, or non-European cohorts.",PEER_REVIEWED_ORIGINAL_RESEARCH,Performance Development of European Swimmers Across the Olympic Cycle,Born DP; Schönfelder M; Logan O; Olstad BH; Romann M,2022,10.3389/fspor.2022.894066,35755613,2021 European Swimming Championships finalists; long-course pool; elite European swimmers,ADULT,ELITE,LCM,100m,A,BENCHMARK,"Use for adult elite/European-championship-level long-course comparison only; do not generalize to youth, masters, recreational, or non-comparable events.",sex + adult + elite + LCM + comparable event/stroke,
EUROPEAN_FINALISTS_2021_MALE,BUTTERFLY,100m,Male,,,Elite / European Championship Finalist,Swim Velocity,m/s,1.84,0.02,,,CALIBRATED_PHYSICAL,VALIDATED_REFERENCE,PRIMARY_BENCHMARK,Race video kinematic analysis; stroke rate = 60 / stroke time; DPS = stroke time × section velocity,"Long-course pool. Values are mean ± SD. Applicable to elite adult European championship finalists; do not generalize to youth, masters, recreational, or non-European cohorts.",PEER_REVIEWED_ORIGINAL_RESEARCH,Performance Development of European Swimmers Across the Olympic Cycle,Born DP; Schönfelder M; Logan O; Olstad BH; Romann M,2022,10.3389/fspor.2022.894066,35755613,2021 European Swimming Championships finalists; long-course pool; elite European swimmers,ADULT,ELITE,LCM,100m,A,BENCHMARK,"Use for adult elite/European-championship-level long-course comparison only; do not generalize to youth, masters, recreational, or non-comparable events.",sex + adult + elite + LCM + comparable event/stroke,
EUROPEAN_FINALISTS_2021_MALE,BUTTERFLY,100m,Male,,,Elite / European Championship Finalist,Stroke Rate,spm,56.1,2.6,,,CALIBRATED_PHYSICAL,VALIDATED_REFERENCE,PRIMARY_BENCHMARK,Race video kinematic analysis; stroke rate = 60 / stroke time; DPS = stroke time × section velocity,"Long-course pool. Values are mean ± SD. Applicable to elite adult European championship finalists; do not generalize to youth, masters, recreational, or non-European cohorts.",PEER_REVIEWED_ORIGINAL_RESEARCH,Performance Development of European Swimmers Across the Olympic Cycle,Born DP; Schönfelder M; Logan O; Olstad BH; Romann M,2022,10.3389/fspor.2022.894066,35755613,2021 European Swimming Championships finalists; long-course pool; elite European swimmers,ADULT,ELITE,LCM,100m,A,BENCHMARK,"Use for adult elite/European-championship-level long-course comparison only; do not generalize to youth, masters, recreational, or non-comparable events.",sex + adult + elite + LCM + comparable event/stroke,
EUROPEAN_FINALISTS_2021_MALE,BUTTERFLY,100m,Male,,,Elite / European Championship Finalist,DPS,m,1.98,0.11,,,CALIBRATED_PHYSICAL,VALIDATED_REFERENCE,PRIMARY_BENCHMARK,Race video kinematic analysis; stroke rate = 60 / stroke time; DPS = stroke time × section velocity,"Long-course pool. Values are mean ± SD. Applicable to elite adult European championship finalists; do not generalize to youth, masters, recreational, or non-European cohorts.",PEER_REVIEWED_ORIGINAL_RESEARCH,Performance Development of European Swimmers Across the Olympic Cycle,Born DP; Schönfelder M; Logan O; Olstad BH; Romann M,2022,10.3389/fspor.2022.894066,35755613,2021 European Swimming Championships finalists; long-course pool; elite European swimmers,ADULT,ELITE,LCM,100m,A,BENCHMARK,"Use for adult elite/European-championship-level long-course comparison only; do not generalize to youth, masters, recreational, or non-comparable events.",sex + adult + elite + LCM + comparable event/stroke,
EUROPEAN_FINALISTS_2021_MALE,BUTTERFLY,200m,Male,,,Elite / European Championship Finalist,Start Time,s,5.91,0.08,,,CALIBRATED_PHYSICAL,VALIDATED_REFERENCE,PRIMARY_BENCHMARK,Race video kinematic analysis; stroke rate = 60 / stroke time; DPS = stroke time × section velocity,"Long-course pool. Values are mean ± SD. Applicable to elite adult European championship finalists; do not generalize to youth, masters, recreational, or non-European cohorts.",PEER_REVIEWED_ORIGINAL_RESEARCH,Performance Development of European Swimmers Across the Olympic Cycle,Born DP; Schönfelder M; Logan O; Olstad BH; Romann M,2022,10.3389/fspor.2022.894066,35755613,2021 European Swimming Championships finalists; long-course pool; elite European swimmers,ADULT,ELITE,LCM,200m,A,BENCHMARK,"Use for adult elite/European-championship-level long-course comparison only; do not generalize to youth, masters, recreational, or non-comparable events.",sex + adult + elite + LCM + comparable event/stroke,
EUROPEAN_FINALISTS_2021_MALE,BUTTERFLY,200m,Male,,,Elite / European Championship Finalist,Breakout Distance After Start,m,13.5,0.3,,,CALIBRATED_PHYSICAL,VALIDATED_REFERENCE,PRIMARY_BENCHMARK,Race video kinematic analysis; stroke rate = 60 / stroke time; DPS = stroke time × section velocity,"Long-course pool. Values are mean ± SD. Applicable to elite adult European championship finalists; do not generalize to youth, masters, recreational, or non-European cohorts.",PEER_REVIEWED_ORIGINAL_RESEARCH,Performance Development of European Swimmers Across the Olympic Cycle,Born DP; Schönfelder M; Logan O; Olstad BH; Romann M,2022,10.3389/fspor.2022.894066,35755613,2021 European Swimming Championships finalists; long-course pool; elite European swimmers,ADULT,ELITE,LCM,200m,A,BENCHMARK,"Use for adult elite/European-championship-level long-course comparison only; do not generalize to youth, masters, recreational, or non-comparable events.",sex + adult + elite + LCM + comparable event/stroke,
EUROPEAN_FINALISTS_2021_MALE,BUTTERFLY,200m,Male,,,Elite / European Championship Finalist,Turn Time,s,11.55,0.18,,,CALIBRATED_PHYSICAL,VALIDATED_REFERENCE,PRIMARY_BENCHMARK,Race video kinematic analysis; stroke rate = 60 / stroke time; DPS = stroke time × section velocity,"Long-course pool. Values are mean ± SD. Applicable to elite adult European championship finalists; do not generalize to youth, masters, recreational, or non-European cohorts.",PEER_REVIEWED_ORIGINAL_RESEARCH,Performance Development of European Swimmers Across the Olympic Cycle,Born DP; Schönfelder M; Logan O; Olstad BH; Romann M,2022,10.3389/fspor.2022.894066,35755613,2021 European Swimming Championships finalists; long-course pool; elite European swimmers,ADULT,ELITE,LCM,200m,A,BENCHMARK,"Use for adult elite/European-championship-level long-course comparison only; do not generalize to youth, masters, recreational, or non-comparable events.",sex + adult + elite + LCM + comparable event/stroke,
